model,label,contact_rate_pct,policy,n_total,n_selected,n_actual_captured,precision,recall,lift,customers_needed_by_rule_for_same_recall,contact_reduction_pct
Model_A_churn,churn_14d,5,무작위,1423844,71192,67413,0.9469181930553995,0.050028534513403056,1.00057350117572,,
Model_A_churn,churn_14d,10,무작위,1423844,142384,134782,0.9466091695696146,0.10002441574748923,1.0002469674652212,,
Model_A_churn,churn_14d,20,무작위,1423844,284769,269545,0.9465391246940502,0.20003473121527343,1.0001729536307666,,
Model_A_churn,churn_14d,30,무작위,1423844,427153,404359,0.9466373875402959,0.30008289480226585,1.000276784353235,,
Model_A_churn,churn_14d,5,최근성_규칙,1423844,71192,69525,0.9765844476907518,0.051595891920613944,1.0319207373836194,,
Model_A_churn,churn_14d,10,최근성_규칙,1423844,142384,138939,0.9758048657152489,0.10310940852295117,1.0310969818866789,,
Model_A_churn,churn_14d,20,최근성_규칙,1423844,284769,277726,0.9752676730964396,0.20610601480826218,1.0305293502756805,,
Model_A_churn,churn_14d,30,최근성_규칙,1423844,427153,416153,0.974248103138688,0.3088354578991622,1.0294520083365322,,
Model_A_churn,churn_14d,5,라이프사이클_규칙,1423844,71192,68955,0.9685779301045061,0.051172883529463274,1.0234605457934194,,
Model_A_churn,churn_14d,10,라이프사이클_규칙,1423844,142384,138265,0.9710711877739072,0.10260921965341513,1.0260950791394905,,
Model_A_churn,churn_14d,20,라이프사이클_규칙,1423844,284769,276638,0.9714470325070496,0.20529858826515354,1.026492220395511,,
Model_A_churn,churn_14d,30,라이프사이클_규칙,1423844,427153,415149,0.9718976572797101,0.3080903694347495,1.0269683789589479,,
Model_A_churn,churn_14d,5,모델_LightGBM,1423844,71192,70006,0.9833408248117766,0.05195285163314634,1.0390599516904375,,
Model_A_churn,churn_14d,10,모델_LightGBM,1423844,142384,139961,0.9829826384987077,0.10386785514708446,1.0386814694350863,,
Model_A_churn,churn_14d,20,모델_LightGBM,1423844,284769,279829,0.9826526061474388,0.20766669313561278,1.038332736431927,,
Model_A_churn,churn_14d,30,모델_LightGBM,1423844,427153,419566,0.9822382144102932,0.3113683134061749,1.0378948639796552,,
Model_A_churn,churn_14d,5,모델_vs_최근성_규칙_동일recall비교,1423844,71192,70006,,0.05195285163314634,,71682.0,0.6835746770458395
Model_A_churn,churn_14d,10,모델_vs_최근성_규칙_동일recall비교,1423844,142384,139961,,0.10386785514708446,,143426.0,0.7265070489311576
Model_A_churn,churn_14d,20,모델_vs_최근성_규칙_동일recall비교,1423844,284769,279829,,0.20766669313561278,,286940.0,0.7566041681187685
Model_A_churn,churn_14d,30,모델_vs_최근성_규칙_동일recall비교,1423844,427153,419566,,0.3113683134061749,,430670.0,0.8166345461722457
Model_A_churn,churn_28d,5,무작위,1423844,71192,64173,0.9014074615125295,0.049994196051913006,0.9998867300165751,,
Model_A_churn,churn_28d,10,무작위,1423844,142384,128316,0.9011967636813125,0.09996502050079113,0.999653013329647,,
Model_A_churn,churn_28d,20,무작위,1423844,284769,256777,0.9017027836597382,0.20004300374958417,1.0002143162732704,,
Model_A_churn,churn_28d,30,무작위,1423844,427153,385336,0.902102993540956,0.30019733423495787,1.0006582493074831,,
Model_A_churn,churn_28d,5,최근성_규칙,1423844,71192,67665,0.9504579166198449,0.052714650645173104,1.0542959747334792,,
Model_A_churn,churn_28d,10,최근성_규칙,1423844,142384,135320,0.9503876840094393,0.10542151075600124,1.0542180691711698,,
Model_A_churn,churn_28d,20,최근성_규칙,1423844,284769,270318,0.9492536055539753,0.21059216630609476,1.0529600920111923,,
Model_A_churn,churn_28d,30,최근성_규칙,1423844,427153,404683,0.9473958979569381,0.3152696810321523,1.0508994288218598,,
Model_A_churn,churn_28d,5,라이프사이클_규칙,1423844,71192,66729,0.9373103719519047,0.05198545663048483,1.0397120534691544,,
Model_A_churn,churn_28d,10,라이프사이클_규칙,1423844,142384,134132,0.9420440498932464,0.10449599527581997,1.0449628883688098,,
Model_A_churn,churn_28d,20,라이프사이클_규칙,1423844,284769,268364,0.942391903613104,0.20906989589508954,1.0453487453017987,,
