category,n_customers,n_repurchase_customers,repurchase_rate,repurchase_rate_pct
258,36042,2879.0,0.07987903002053161,7.99
4092,19140,1360.0,0.07105538140020899,7.11
1096,13366,3821.0,0.28587460721232977,28.59
791,11874,858.0,0.07225871652349672,7.23
6356,11238,867.0,0.07714895888948212,7.71
2964,11081,2304.0,0.2079234726107752,20.79
3138,10821,1076.0,0.09943628130487016,9.94
4444,10074,619.0,0.06144530474488783,6.14
1135,9752,945.0,0.09690319934372436,9.69
1429,8324,561.0,0.0673954829408938,6.74
37,7660,610.0,0.07963446475195822,7.96
3398,7404,608.0,0.08211777417612101,8.21
6432,7250,568.0,0.0783448275862069,7.83
5934,7194,571.0,0.07937169863775369,7.94
2663,7001,591.0,0.0844165119268676,8.44
6347,6689,915.0,0.13679174764538796,13.68
5840,6429,396.0,0.06159589360709286,6.16
949,6420,501.0,0.0780373831775701,7.8
2600,6381,382.0,0.05986522488638144,5.99
4814,6322,429.0,0.06785827269851313,6.79
2243,6237,805.0,0.12906846240179573,12.91
6573,6132,502.0,0.08186562296151337,8.19
4072,6012,497.0,0.08266799733865603,8.27
6118,5898,496.0,0.0840963038318074,8.41
2178,5693,608.0,0.10679782188652731,10.68
5830,5617,985.0,0.17536051272921488,17.54
4354,5604,492.0,0.08779443254817987,8.78
3679,5599,663.0,0.11841400250044651,11.84
6823,5507,599.0,0.10877065552932631,10.88
6810,5452,577.0,0.10583272193690389,10.58
872,5418,344.0,0.06349206349206349,6.35
2698,5313,495.0,0.09316770186335403,9.32
5742,5240,505.0,0.09637404580152671,9.64
2890,5222,699.0,0.13385675986212178,13.39
384,5134,559.0,0.10888196338137904,10.89
1966,5127,812.0,0.1583772186463819,15.84
5835,4969,475.0,0.09559267458241094,9.56
876,4956,286.0,0.05770782889426957,5.77
5698,4847,454.0,0.0936661852692387,9.37
5195,4490,335.0,0.07461024498886415,7.46
2155,4360,401.0,0.09197247706422018,9.2
1144,4314,354.0,0.08205841446453407,8.21
3165,4269,266.0,0.062309674396814244,6.23
619,4235,273.0,0.06446280991735537,6.45
3785,4193,302.0,0.07202480324350108,7.2
354,4091,375.0,0.09166462967489611,9.17
3176,4050,439.0,0.10839506172839507,10.84
4278,4048,249.0,0.06151185770750988,6.15
4412,3959,347.0,0.08764839605961101,8.76
419,3950,318.0,0.08050632911392405,8.05
328,3863,300.0,0.07765984985762361,7.77
3486,3831,222.0,0.05794831636648395,5.79
2803,3733,262.0,0.0701848379319582,7.02
4174,3621,331.0,0.09141121237227286,9.14
6414,3594,301.0,0.08375069560378408,8.38
485,3567,352.0,0.09868236613400616,9.87
2114,3557,527.0,0.14815856058476243,14.82
6713,3511,363.0,0.10338934776416975,10.34
4134,3507,252.0,0.0718562874251497,7.19
6046,3500,346.0,0.09885714285714285,9.89
3207,3496,326.0,0.09324942791762014,9.32
2285,3422,236.0,0.06896551724137931,6.9
6031,3421,309.0,0.0903244665302543,9.03
6658,3382,227.0,0.06712004730928445,6.71
3782,3367,280.0,0.08316008316008316,8.32
4448,3356,274.0,0.08164481525625746,8.16
1458,3349,285.0,0.0851000298596596,8.51
1236,3339,320.0,0.09583707696915245,9.58
659,3306,229.0,0.0692679975801573,6.93
5777,3243,219.0,0.06753006475485661,6.75
3703,3214,251.0,0.07809583074051027,7.81
3587,3041,302.0,0.09930943768497205,9.93
6119,3022,254.0,0.08405029781601589,8.41
5976,2988,312.0,0.10441767068273092,10.44
5131,2974,248.0,0.08338937457969066,8.34
5299,2895,246.0,0.0849740932642487,8.5
4043,2857,196.0,0.06860343017150858,6.86
608,2851,141.0,0.049456331111890565,4.95
