cluster,n_products,n_distinct_categories,top1_category_pct,top3_categories
49,30880,2937,15.72,"cat876(4855건,15.7%), cat2589(1356건,4.4%), cat2890(884건,2.9%)"
16,30550,3219,14.65,"cat1135(4475건,14.6%), cat258(1031건,3.4%), cat5777(574건,1.9%)"
38,44529,1897,13.5,"cat949(6013건,13.5%), cat3792(4623건,10.4%), cat5976(3237건,7.3%)"
12,29567,3203,13.19,"cat3138(3900건,13.2%), cat258(1003건,3.4%), cat2285(642건,2.2%)"
42,32013,3254,12.01,"cat4092(3846건,12.0%), cat2155(1908건,6.0%), cat258(953건,3.0%)"
29,33611,3309,11.89,"cat2178(3997건,11.9%), cat258(1267건,3.8%), cat2890(1084건,3.2%)"
17,30005,3209,11.43,"cat4043(3429건,11.4%), cat258(1024건,3.4%), cat485(697건,2.3%)"
36,26689,3118,11.4,"cat1732(3042건,11.4%), cat258(973건,3.6%), cat228(508건,1.9%)"
2,33047,3029,10.75,"cat6810(3551건,10.7%), cat735(1284건,3.9%), cat1582(1209건,3.7%)"
34,28246,3217,9.99,"cat2663(2822건,10.0%), cat258(865건,3.1%), cat619(816건,2.9%)"
3,26305,3243,9.95,"cat985(2618건,10.0%), cat258(875건,3.3%), cat4898(420건,1.6%)"
9,32403,2707,8.24,"cat5698(2671건,8.2%), cat1480(1568건,4.8%), cat949(1003건,3.1%)"
21,27031,3150,8.04,"cat354(2173건,8.0%), cat1144(1357건,5.0%), cat258(893건,3.3%)"
37,37595,2434,7.8,"cat3398(2932건,7.8%), cat2243(2823건,7.5%), cat1135(2262건,6.0%)"
1,30315,3354,7.79,"cat1966(2362건,7.8%), cat258(1188건,3.9%), cat1236(1068건,3.5%)"
26,35354,2895,6.0,"cat791(2122건,6.0%), cat1096(2004건,5.7%), cat4452(925건,2.6%)"
48,29753,3220,5.97,"cat5195(1777건,6.0%), cat258(981건,3.3%), cat6356(570건,1.9%)"
41,33273,3459,5.78,"cat1096(1922건,5.8%), cat2598(1828건,5.5%), cat258(1081건,3.2%)"
43,31544,3162,5.55,"cat2698(1751건,5.6%), cat258(1160건,3.7%), cat3587(687건,2.2%)"
18,33542,3370,5.35,"cat4412(1795건,5.4%), cat6356(1230건,3.7%), cat258(1059건,3.2%)"
40,32672,3270,4.42,"cat258(1443건,4.4%), cat6347(670건,2.1%), cat1096(502건,1.5%)"
0,35474,2895,4.28,"cat3173(1519건,4.3%), cat2325(1413건,4.0%), cat258(1056건,3.0%)"
32,29585,3462,4.02,"cat258(1190건,4.0%), cat3010(420건,1.4%), cat4134(255건,0.9%)"
46,30465,3511,4.01,"cat258(1223건,4.0%), cat2964(352건,1.2%), cat112(287건,0.9%)"
14,28766,3391,4.01,"cat258(1153건,4.0%), cat6347(335건,1.2%), cat6118(254건,0.9%)"
8,27695,3404,3.99,"cat258(1105건,4.0%), cat2964(868건,3.1%), cat985(357건,1.3%)"
10,29745,3425,3.98,"cat258(1184건,4.0%), cat2890(851건,2.9%), cat5835(579건,1.9%)"
31,32000,3537,3.98,"cat258(1274건,4.0%), cat6059(690건,2.2%), cat58(352건,1.1%)"
47,29445,3486,3.93,"cat258(1156건,3.9%), cat4444(390건,1.3%), cat5259(338건,1.1%)"
44,30867,3321,3.84,"cat258(1185건,3.8%), cat2419(626건,2.0%), cat5152(551건,1.8%)"
15,29916,3396,3.78,"cat258(1131건,3.8%), cat872(434건,1.5%), cat5813(338건,1.1%)"
13,30046,3079,3.77,"cat791(1133건,3.8%), cat258(969건,3.2%), cat1392(928건,3.1%)"
35,26507,3404,3.75,"cat258(995건,3.8%), cat4072(298건,1.1%), cat2155(248건,0.9%)"
28,29440,3309,3.75,"cat485(1104건,3.8%), cat258(1085건,3.7%), cat5604(671건,2.3%)"
6,31076,3324,3.71,"cat4354(1153건,3.7%), cat258(1027건,3.3%), cat124(820건,2.6%)"
33,33070,3321,3.65,"cat258(1208건,3.7%), cat5742(896건,2.7%), cat5777(673건,2.0%)"
11,28367,3360,3.61,"cat258(1025건,3.6%), cat2803(392건,1.4%), cat262(301건,1.1%)"
24,26338,3303,3.61,"cat258(950건,3.6%), cat438(492건,1.9%), cat3623(381건,1.4%)"
39,26745,3205,3.6,"cat258(964건,3.6%), cat1094(463건,1.7%), cat619(375건,1.4%)"
45,27148,3262,3.6,"cat258(978건,3.6%), cat6118(343건,1.3%), cat3623(326건,1.2%)"
5,29924,3404,3.6,"cat258(1076건,3.6%), cat5131(993건,3.3%), cat6956(558건,1.9%)"
19,31968,3426,3.55,"cat258(1134건,3.5%), cat1096(695건,2.2%), cat6823(629건,2.0%)"
20,30426,3312,3.5,"cat258(1065건,3.5%), cat5402(968건,3.2%), cat4647(633건,2.1%)"
23,29121,3467,3.49,"cat258(1017건,3.5%), cat2914(375건,1.3%), cat4444(283건,1.0%)"
25,29952,3381,3.45,"cat258(1032건,3.4%), cat5835(623건,2.1%), cat5770(468건,1.6%)"
7,29121,3322,3.44,"cat258(1003건,3.4%), cat4448(894건,3.1%), cat5835(575건,2.0%)"
27,33431,3286,3.31,"cat258(1105건,3.3%), cat4814(942건,2.8%), cat384(721건,2.2%)"
4,28117,3225,3.31,"cat258(931건,3.3%), cat485(675건,2.4%), cat5549(306건,1.1%)"
22,32665,3030,3.28,"cat258(1070건,3.3%), cat3680(738건,2.3%), cat384(635건,1.9%)"
30,27706,3238,3.14,"cat5959(870건,3.1%), cat258(859건,3.1%), cat2964(671건,2.4%)"
