search_cluster,n_search_events,n_linked_purchases,n_distinct_categories_purchased,top1_category_pct,top5_categories
19,121172,1469161,4549,11.47,"cat699(168535건,11.5%), cat1966(70356건,4.8%), cat1732(58530건,4.0%), cat58(28222건,1.9%), cat258(24948건,1.7%)"
14,216981,1656015,4846,5.64,"cat4092(93395건,5.6%), cat1096(62950건,3.8%), cat1966(40453건,2.4%), cat258(28874건,1.7%), cat2964(21614건,1.3%)"
5,170704,1199950,4693,4.87,"cat4092(58410건,4.9%), cat1966(29936건,2.5%), cat258(22344건,1.9%), cat1096(17775건,1.5%), cat3138(12985건,1.1%)"
16,111380,776131,4513,4.01,"cat1966(31150건,4.0%), cat791(14216건,1.8%), cat258(14166건,1.8%), cat6118(11578건,1.5%), cat1096(11119건,1.4%)"
15,141356,997565,4651,3.77,"cat4092(37609건,3.8%), cat1966(21323건,2.1%), cat1096(19887건,2.0%), cat258(18888건,1.9%), cat699(9996건,1.0%)"
3,196707,1454567,4832,3.27,"cat1096(47545건,3.3%), cat1966(35130건,2.4%), cat258(27480건,1.9%), cat2964(14828건,1.0%), cat3207(13145건,0.9%)"
7,235290,1656311,4918,2.7,"cat1966(44647건,2.7%), cat1096(30552건,1.8%), cat258(30355건,1.8%), cat699(18341건,1.1%), cat1732(16320건,1.0%)"
8,183268,1333654,4795,2.61,"cat1096(34831건,2.6%), cat258(25066건,1.9%), cat1966(22645건,1.7%), cat4798(14220건,1.1%), cat6118(11853건,0.9%)"
10,178201,1293022,4787,2.61,"cat1966(33745건,2.6%), cat258(26682건,2.1%), cat1096(21213건,1.6%), cat6118(11736건,0.9%), cat3207(11638건,0.9%)"
2,157574,1077708,4639,2.5,"cat1966(26943건,2.5%), cat258(21009건,1.9%), cat1096(19788건,1.8%), cat1732(11588건,1.1%), cat699(11206건,1.0%)"
6,204440,1319796,4607,2.43,"cat1966(32009건,2.4%), cat1135(22945건,1.7%), cat258(22506건,1.7%), cat1096(17908건,1.4%), cat3398(14202건,1.1%)"
1,154161,1065617,4682,2.39,"cat1966(25460건,2.4%), cat258(19778건,1.9%), cat1096(19448건,1.8%), cat699(10478건,1.0%), cat1732(9765건,0.9%)"
12,164852,1222623,4739,2.3,"cat1966(28082건,2.3%), cat258(24459건,2.0%), cat1096(21971건,1.8%), cat699(16233건,1.3%), cat1732(9291건,0.8%)"
0,2122457,10691403,5300,2.22,"cat1966(237529건,2.2%), cat1096(222772건,2.1%), cat258(201351건,1.9%), cat2589(111538건,1.0%), cat1135(106026건,1.0%)"
11,176926,1211816,4766,2.17,"cat258(26253건,2.2%), cat1966(22784건,1.9%), cat1096(21633건,1.8%), cat4092(10212건,0.8%), cat6118(9734건,0.8%)"
18,175681,1229521,4759,2.16,"cat1096(26556건,2.2%), cat258(23311건,1.9%), cat1966(16666건,1.4%), cat6118(13414건,1.1%), cat2914(10120건,0.8%)"
4,195730,1290249,4731,2.1,"cat1096(27051건,2.1%), cat258(24231건,1.9%), cat1966(21918건,1.7%), cat6118(12580건,1.0%), cat6356(11094건,0.9%)"
9,143013,911428,4624,2.08,"cat1966(18973건,2.1%), cat258(17608건,1.9%), cat1096(16262건,1.8%), cat2589(7682건,0.8%), cat6118(6788건,0.7%)"
13,167868,1175786,4721,2.07,"cat258(24348건,2.1%), cat1966(24231건,2.1%), cat4092(23648건,2.0%), cat1096(19800건,1.7%), cat5934(9179건,0.8%)"
17,142755,976319,4643,1.95,"cat1096(19059건,2.0%), cat1966(18702건,1.9%), cat258(18395건,1.9%), cat699(9747건,1.0%), cat6810(9492건,1.0%)"
