metric,value
8.7_buyer_count,909210
8.7_mean_purchases_per_customer,2.55
8.7_median_purchases_per_customer,2
8.7_mean_purchase_days_per_customer,1.4356
8.7_median_purchase_days_per_customer,1
8.7_mean_unique_skus_per_customer,1.9995
8.7_median_unique_skus_per_customer,1
8.7_mean_categories_per_customer,1.6992
8.7_median_categories_per_customer,1
8.7_pct_1_purchase_day,76.8334
8.7_pct_2plus_purchase_days,23.1666
8.7_pct_3plus_purchase_days,8.8752
8.7_repeat_capable_customers,210633
8.7_recent_window_days,14
8.7_pct_buyers_in_recent_window,15.1825
8.7_gap_mean_days,22.9463
8.7_gap_median_days,9.4827
8.7_gap_p25_days,0.8852
8.7_gap_p75_days,32.8205
8.7_gap_p90_days,68.0522
8.7_gap_p95_days,92.4692
8.8_mean_add_per_customer,3.2317
8.8_median_add_per_customer,1
8.8_mean_remove_per_customer,3.8723
8.8_median_remove_per_customer,2
8.8_add_to_buy_matched_pairs,1173984
8.8_add_to_buy_total_pairs,5791963
8.8_add_to_buy_conversion_pct,20.2692
8.8_add_to_buy_mean_hours,24.9264
8.8_add_to_buy_median_hours,0.1236
8.8_add_to_buy_p90_hours,27.6297
8.8_remove_then_buy_pairs,205117
8.8_remove_total_pairs,2111974
8.8_remove_then_buy_pct,9.7121
8.9_buyer_pre_purchase_visit_mean,28.7887
8.9_buyer_pre_purchase_visit_median,12
8.9_buyer_pre_purchase_search_mean,8.6205
8.9_buyer_pre_purchase_search_median,4
8.9_nonbuyer_visit_mean,7.0046
8.9_nonbuyer_visit_median,2
8.9_nonbuyer_search_mean,6.0047
8.9_nonbuyer_search_median,3
