file,column,dtype,null_count,null_pct,distinct_count
product_buy.parquet,client_id,BIGINT,0,0.0,909210
product_buy.parquet,timestamp,VARCHAR,0,0.0,1037152
product_buy.parquet,sku,BIGINT,0,0.0,639126
add_to_cart.parquet,client_id,BIGINT,0,0.0,2333463
add_to_cart.parquet,timestamp,VARCHAR,0,0.0,2344352
add_to_cart.parquet,sku,BIGINT,0,0.0,1444160
remove_from_cart.parquet,client_id,BIGINT,0,0.0,694391
remove_from_cart.parquet,timestamp,VARCHAR,0,0.0,1413950
remove_from_cart.parquet,sku,BIGINT,0,0.0,824536
page_visit.parquet,client_id,BIGINT,0,0.0,21993998
page_visit.parquet,timestamp,VARCHAR,0,0.0,3135737
page_visit.parquet,url,BIGINT,0,0.0,15293447
search_query.parquet,client_id,BIGINT,0,0.0,1629447
search_query.parquet,timestamp,VARCHAR,0,0.0,2618501
search_query.parquet,query,VARCHAR,0,0.0,3028391
product_properties.parquet,sku,BIGINT,0,0.0,1534050
product_properties.parquet,category,BIGINT,0,0.0,6912
product_properties.parquet,price,BIGINT,0,0.0,100
product_properties.parquet,name,VARCHAR,0,0.0,1228730
