client_id,event_type,event_count
OUTLIER_07,add_to_cart,1993
OUTLIER_07,remove_from_cart,1511
OUTLIER_07,search_query,4558
OUTLIER_06,add_to_cart,2200
OUTLIER_06,remove_from_cart,1032
OUTLIER_08,add_to_cart,1491
OUTLIER_08,remove_from_cart,1351
OUTLIER_13,page_visit,55561
OUTLIER_14,page_visit,37073
OUTLIER_15,page_visit,29566
OUTLIER_16,page_visit,28306
OUTLIER_17,page_visit,25860
OUTLIER_01,product_buy,644
OUTLIER_02,product_buy,536
OUTLIER_03,product_buy,485
OUTLIER_04,product_buy,404
OUTLIER_05,product_buy,383
OUTLIER_09,add_to_cart,1227
OUTLIER_10,add_to_cart,1220
OUTLIER_11,remove_from_cart,858
OUTLIER_12,remove_from_cart,823
OUTLIER_18,search_query,3245
OUTLIER_19,search_query,2916
OUTLIER_20,search_query,2824
OUTLIER_21,search_query,2353
