metric,value
distinct_sku_product_buy,639126
distinct_sku_add_to_cart,1444160
distinct_sku_remove_from_cart,824536
distinct_sku_product_properties,1534050
row_count_product_properties,1534050
buy_sku_matched_to_properties,639126
buy_sku_match_rate_pct,100.0
cart_sku_matched_to_properties,1444160
cart_sku_match_rate_pct,100.0
null_category_count,0
null_category_pct,0.0
null_price_count,0
null_price_pct,0.0
null_name_count,0
null_name_pct,0.0
sku_with_multiple_rows,0
price_min,0
price_max,99
price_distinct_count,100
