feature,importance
n_purchase_days_so_far,182231.65182304382
n_page_visit_28d,60063.658453941345
n_search_query_28d,55643.14790344238
avg_purchase_gap_days_so_far,45594.553599357605
days_since_last_purchase,39171.33365058899
n_categories_so_far,37067.46324825287
n_add_to_cart_28d,29410.8117685318
n_purchase_occasions_so_far,11355.00579071045
avg_category_repurchase_rate,9279.524276733398
n_purchases_28d,2858.764846801758
n_remove_from_cart_28d,2118.850687980652
n_purchases_7d,874.8088083267212
n_purchases_14d,360.085205078125
