model,label,contact_rate_pct,policy,n_total,n_selected,n_actual_captured,precision,recall,lift,customers_needed_by_rule_for_same_recall,contact_reduction_pct
Model_A_churn,churn_14d,5,무작위,1423844,71192,67433,0.9471991234970222,0.050043376913092553,1.0008703500034464,,
Model_A_churn,churn_14d,10,무작위,1423844,142384,134856,0.9471288908866164,0.10007933262634036,1.0007961377965149,,
Model_A_churn,churn_14d,20,무작위,1423844,284769,269649,0.9469043329856831,0.2001119116936588,1.0005588557516651,,
Model_A_churn,churn_14d,30,무작위,1423844,427153,404510,0.9469908908517557,0.30019495491992154,1.0006503182536486,,
Model_A_churn,churn_14d,5,최근성_규칙,1423844,71192,69525,0.9765844476907518,0.051595891920613944,1.0319207373836194,,
Model_A_churn,churn_14d,10,최근성_규칙,1423844,142384,138942,0.9758259354983706,0.1031116348829046,1.0311192455487583,,
Model_A_churn,churn_14d,20,최근성_규칙,1423844,284769,277719,0.9752430917691182,0.20610081996837085,1.0305033760944662,,
Model_A_churn,churn_14d,30,최근성_규칙,1423844,427153,416138,0.9742129869156954,0.3088243260993951,1.0294149023199348,,
Model_A_churn,churn_14d,5,라이프사이클_규칙,1423844,71192,69196,0.9719631419260591,0.05135173444572171,1.0270375741675215,,
Model_A_churn,churn_14d,10,라이프사이클_규칙,1423844,142384,138345,0.9716330486571525,0.1026685892521731,1.026688776794943,,
Model_A_churn,churn_14d,20,라이프사이클_규칙,1423844,284769,276561,0.9711766379065137,0.20524144502634897,1.0262065044021533,,
Model_A_churn,churn_14d,30,라이프사이클_규칙,1423844,427153,414824,0.9711368057815349,0.30784918043979514,1.0261644152660045,,
Model_A_churn,churn_14d,5,모델_LightGBM,1423844,71192,69932,0.9823013821777727,0.0518979347542952,1.03796161102785,,
Model_A_churn,churn_14d,10,모델_LightGBM,1423844,142384,139880,0.9824137543544218,0.10380774342834201,1.0380803505589404,,
Model_A_churn,churn_14d,20,모델_LightGBM,1423844,284769,279887,0.9828562800023879,0.20770973609471233,1.0385479510762743,,
Model_A_churn,churn_14d,30,모델_LightGBM,1423844,427153,419655,0.9824465706667166,0.31143436208479314,1.0381150263447996,,
Model_A_churn,churn_14d,5,모델_vs_최근성_규칙_동일recall비교,1423844,71192,69932,,0.0518979347542952,,71610.0,0.5837173579109067
Model_A_churn,churn_14d,10,모델_vs_최근성_규칙_동일recall비교,1423844,142384,139880,,0.10380774342834201,,143343.0,0.6690246471749539
Model_A_churn,churn_14d,20,모델_vs_최근성_규칙_동일recall비교,1423844,284769,279887,,0.20770973609471233,,287003.0,0.7783890760723722
Model_A_churn,churn_14d,30,모델_vs_최근성_규칙_동일recall비교,1423844,427153,419655,,0.31143436208479314,,430755.0,0.8362061960975442
Model_A_churn,churn_28d,5,무작위,1423844,71192,64280,0.9029104393752106,0.05007755476940408,1.001553909049997,,
Model_A_churn,churn_28d,10,무작위,1423844,142384,128403,0.9018077873918418,0.10003279814959229,1.000330791721739,,
Model_A_churn,churn_28d,20,무작위,1423844,284769,256778,0.901706295277927,0.20004378280301868,1.0002182115377072,,
Model_A_churn,churn_28d,30,무작위,1423844,427153,385170,0.9017143740065036,0.3000680113648315,1.0002271728718917,,
Model_A_churn,churn_28d,5,최근성_규칙,1423844,71192,67682,0.9506967074952242,0.052727894553559536,1.0545608536453313,,
Model_A_churn,churn_28d,10,최근성_규칙,1423844,142384,135326,0.9504298235756826,0.10542618507660823,1.0542648125085554,,
Model_A_churn,churn_28d,20,최근성_규칙,1423844,284769,270312,0.9492325358448427,0.2105874919854878,1.0529367204245719,,
Model_A_churn,churn_28d,30,최근성_규칙,1423844,427153,404690,0.9474122855276681,0.3152751344061938,1.0509176067438426,,
Model_A_churn,churn_28d,5,라이프사이클_규칙,1423844,71192,67169,0.9434908416676031,0.052328240141663075,1.046567742952384,,
Model_A_churn,churn_28d,10,라이프사이클_규칙,1423844,142384,134195,0.9424865153388021,0.10454507564219322,1.0454536934113592,,
Model_A_churn,churn_28d,20,라이프사이클_규칙,1423844,284769,268221,0.9418897422121087,0.20895849125395663,1.0447917224873444,,
Model_A_churn,churn_28d,30,라이프사이클_규칙,1423844,427153,402367,0.9419739531268656,0.31346539327785955,1.0448851334915608,,
Model_A_churn,churn_28d,5,모델_LightGBM,1423844,71192,68514,0.9623834138667265,0.05337606701106022,1.06752433921362,,
Model_A_churn,churn_28d,10,모델_LightGBM,1423844,142384,137005,0.9622218788627935,0.10673421579312703,1.0673451564203082,,
Model_A_churn,churn_28d,20,모델_LightGBM,1423844,284769,274392,0.9635599380550551,0.21376602999823155,1.0688293993264786,,
Model_A_churn,churn_28d,30,모델_LightGBM,1423844,427153,411388,0.9630928496346742,0.3204932343104481,1.0683112812353552,,
Model_A_churn,churn_28d,5,모델_vs_최근성_규칙_동일recall비교,1423844,71192,68514,,0.05337606701106022,,72071.0,1.2196306420057978
Model_A_churn,churn_28d,10,모델_vs_최근성_규칙_동일recall비교,1423844,142384,137005,,0.10673421579312703,,144155.0,1.2285387256772196
Model_A_churn,churn_28d,20,모델_vs_최근성_규칙_동일recall비교,1423844,284769,274392,,0.21376602999823155,,289067.0,1.4868525289984724
Model_A_churn,churn_28d,30,모델_vs_최근성_규칙_동일recall비교,1423844,427153,411388,,0.3204932343104481,,434273.0,1.639521683365075
Model_B_propensity,will_purchase_14d,5,무작위,7420944,371047,5123,0.013806876217837633,0.05003320571919681,1.000664653757177,,
Model_B_propensity,will_purchase_14d,10,무작위,7420944,742094,10198,0.013742194385077901,0.09959762481443862,0.9959767849907956,,
